left,top,right,bottom,score,length,detection_type,confidence,poly
0,3507,2192,4384,1,-1,needs_review,1,
2192,3507,4384,4384,1,-1,needs_review,1,
4384,3507,6576,4384,1,-1,needs_review,1,
0,2630,2192,3507,1,-1,needs_review,1,
2192,2630,4384,3507,1,-1,needs_review,1,
4384,2630,6576,3507,1,-1,needs_review,1,
0,1753,2192,2630,1,-1,needs_review,1,
2192,1753,4384,2630,1,-1,needs_review,1,
4384,1753,6576,2630,1,-1,needs_review,1,
0,876,2192,1753,1,-1,needs_review,1,
2192,876,4384,1753,1,-1,needs_review,1,
4384,876,6576,1753,1,-1,needs_review,1,
0,0,2192,876,1,-1,needs_review,1,
2192,0,4384,876,1,-1,needs_review,1,
4384,0,6576,876,1,-1,needs_review,1,
0,0,833,4253,1,-1,suppressed,1,(poly) 0 4253 833 4205 815 0 0 0 0 4253
